Date : 2021-03-05 17:20:28
Directory : c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32
Total : 70 files,  15153 codes, 1938 comments, 2504 blanks, all 19595 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Battery.cpp                        | C++      |         22 |         20 |          6 |         48 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Display.cpp                        | C++      |        885 |         23 |         82 |        990 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Keyboard.cpp                       | C++      |        541 |         60 |         34 |        635 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Sound.cpp                          | C++      |        434 |        109 |         82 |        625 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Main.cpp                                  | C++      |          9 |         12 |          7 |         28 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Clock.cpp                        | C++      |        663 |          2 |         40 |        705 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Internet_Browser.cpp             | C++      |      1,157 |         61 |        162 |      1,380 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Music_Player.cpp                 | C++      |        270 |          1 |         27 |        298 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Oscilloscope.cpp                 | C++      |        526 |         54 |         40 |        620 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Paint.cpp                        | C++      |         46 |         23 |         10 |         79 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Periodic.cpp                     | C++      |        215 |         17 |         45 |        277 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Piano.cpp                        | C++      |        136 |         10 |         29 |        175 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Picture_Viewer.cpp               | C++      |        164 |          7 |         17 |        188 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Pong.cpp                         | C++      |          1 |          0 |          0 |          1 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Shell.cpp                        | C++      |      1,861 |         66 |        176 |      2,103 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Simon.cpp                        | C++      |        235 |          4 |         17 |        256 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Software_Template.cpp            | C++      |          1 |         10 |          3 |         14 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Text_Editor.cpp                  | C++      |        186 |          1 |         11 |        198 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Tiny_Basic.cpp                   | C++      |      2,059 |        317 |        343 |      2,719 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\calculator.cpp                   | C++      |      1,358 |         32 |        184 |      1,574 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Xila.cpp                                  | C++      |          2 |          0 |          2 |          4 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\test\Regular\Regular.cpp                      | C++      |         10 |          0 |          3 |         13 |
| Total                                                                                                       |          |     15,153 |      1,938 |      2,504 |     19,595 |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
