"filename", "language", "C++", "Ini", "Markdown", "comment", "blank", "total"
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Pictviwer.cpp", "C++", 160, 0, 0, 7, 15, 182
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Pong.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Shell.cpp", "C++", 1743, 0, 0, 55, 137, 1935
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Simon.cpp", "C++", 235, 0, 0, 4, 17, 256
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Software_Template.cpp", "C++", 1, 0, 0, 10, 3, 14
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Text_Editor.cpp", "C++", 186, 0, 0, 1, 11, 198
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Tiny_Basic.cpp", "C++", 2059, 0, 0, 317, 343, 2719
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\calculator.cpp", "C++", 1284, 0, 0, 24, 90, 1398
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Xila.cpp", "C++", 2, 0, 0, 0, 2, 4
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\test\Regular\Regular.cpp", "C++", 10, 0, 0, 0, 3, 13
"Total", "-", 14277, 9, 149, 1904, 2263, 18602
